,pca_m0,proba
224,-0.015519999999999999,0.99092627
225,-0.0155,0.99091184
226,-0.01548,0.9908975
227,-0.01546,0.99088305
228,-0.015439999999999999,0.9908686
229,-0.01542,0.9908542
230,-0.0154,0.9908397
231,-0.015380000000000001,0.9908252
232,-0.01536,0.9908107
233,-0.01534,0.9907961
234,-0.01532,0.9907815
235,-0.015300000000000001,0.990767
236,-0.01528,0.99075234
237,-0.01526,0.99073774
238,-0.01524,0.9907231
239,-0.015220000000000001,0.99070835
240,-0.0152,0.99069357
241,-0.015179999999999999,0.9906789
242,-0.01516,0.99066406
243,-0.01514,0.99064934
244,-0.01512,0.9906345
245,-0.015099999999999999,0.99061966
246,-0.01508,0.9906049
247,-0.01506,0.99059004
248,-0.015040000000000001,0.99057513
249,-0.01502,0.9905601
250,-0.015,0.99054515
251,-0.01498,0.99053025
252,-0.014960000000000001,0.9905152
253,-0.01494,0.9905002
254,-0.01492,0.99048513
255,-0.0149,0.99047005
256,-0.01488,0.9904551
257,-0.01486,0.99043995
258,-0.014839999999999999,0.9904248
259,-0.01482,0.9904096
260,-0.0148,0.9903945
261,-0.01478,0.9903793
262,-0.014759999999999999,0.99036396
263,-0.01474,0.99034876
264,-0.01472,0.99033344
265,-0.014700000000000001,0.9903181
266,-0.01468,0.9903028
267,-0.01466,0.9902842
268,-0.01464,0.99026424
269,-0.014620000000000001,0.99024427
270,-0.0146,0.9902242
271,-0.01458,0.9902042
272,-0.01456,0.9901841
273,-0.01454,0.9901639
274,-0.01452,0.99014384
275,-0.014499999999999999,0.99012357
276,-0.01448,0.9901003
277,-0.01446,0.99007547
278,-0.01444,0.99004734
279,-0.014419999999999999,0.9900167
280,-0.0144,0.98998505
281,-0.01438,0.9899493
282,-0.014360000000000001,0.98990977
283,-0.01434,0.98986864
284,-0.01432,0.98982334
285,-0.0143,0.98976916
286,-0.014280000000000001,0.98970795
287,-0.01426,0.98964584
288,-0.01424,0.9895834
289,-0.01422,0.9895182
290,-0.0142,0.98944974
291,-0.01418,0.9893805
292,-0.014159999999999999,0.989304
293,-0.01414,0.98922414
294,-0.01412,0.98914367
295,-0.0141,0.9890624
296,-0.014079999999999999,0.98898077
297,-0.01406,0.9888985
298,-0.01404,0.9888156
299,-0.014020000000000001,0.9887321
300,-0.014,0.98864794
301,-0.01398,0.9885632
302,-0.01396,0.98847777
303,-0.013940000000000001,0.98839164
304,-0.01392,0.9883049
305,-0.0139,0.9882177
306,-0.01388,0.9881296
307,-0.01386,0.988041
308,-0.01384,0.9879518
309,-0.013819999999999999,0.9878618
310,-0.0138,0.98777115
311,-0.01378,0.98767996
312,-0.01376,0.9875879
313,-0.013739999999999999,0.98749536
314,-0.01372,0.98740196
315,-0.0137,0.9873079
316,-0.013680000000000001,0.9872132
317,-0.01366,0.9871179
318,-0.01364,0.9870217
319,-0.01362,0.98692477
320,-0.013600000000000001,0.9868273
321,-0.01358,0.98672897
322,-0.01356,0.98663
323,-0.01354,0.9865303
324,-0.01352,0.98642975
325,-0.0135,0.9863285
326,-0.013479999999999999,0.98622656
327,-0.01346,0.9861238
328,-0.01344,0.98602027
329,-0.01342,0.985916
330,-0.013399999999999999,0.98581105
331,-0.01338,0.98570526
332,-0.01336,0.9855986
333,-0.013340000000000001,0.9854912
334,-0.01332,0.98538303
335,-0.0133,0.985274
336,-0.01328,0.9851643
337,-0.013260000000000001,0.9850537
338,-0.01324,0.9849422
339,-0.013219999999999999,0.98482996
340,-0.0132,0.98471695
341,-0.01318,0.9846029
342,-0.01316,0.98448825
343,-0.013139999999999999,0.9843726
344,-0.01312,0.98425615
345,-0.0131,0.98413885
346,-0.01308,0.9840207
347,-0.013059999999999999,0.9839017
348,-0.01304,0.98378164
349,-0.01302,0.9836609
350,-0.013000000000000001,0.9835392
351,-0.01298,0.98341656
352,-0.01296,0.98329294
353,-0.01294,0.98316854
354,-0.012920000000000001,0.9830432
355,-0.0129,0.9829169
356,-0.012879999999999999,0.98278964
357,-0.01286,0.9826615
358,-0.01284,0.98253244
359,-0.01282,0.9824023
360,-0.012799999999999999,0.9822714
361,-0.01278,0.9821394
362,-0.01276,0.9820064
363,-0.01274,0.9818725
364,-0.012719999999999999,0.9817376
365,-0.0127,0.98160166
366,-0.01268,0.98146474
367,-0.012660000000000001,0.98132676
368,-0.01264,0.9811879
369,-0.01262,0.98104787
370,-0.0126,0.9809069
371,-0.012580000000000001,0.98076475
372,-0.01256,0.9806217
373,-0.012539999999999999,0.9804776
374,-0.01252,0.9803323
375,-0.0125,0.9801861
376,-0.01248,0.98003876
377,-0.012459999999999999,0.9798903
378,-0.01244,0.97974074
379,-0.01242,0.9795901
380,-0.0124,0.9794385
381,-0.012379999999999999,0.97928554
382,-0.01236,0.97913164
383,-0.01234,0.9789765
384,-0.01232,0.97882026
385,-0.0123,0.97866285
386,-0.01228,0.97850424
387,-0.01226,0.97834456
388,-0.012240000000000001,0.9781836
389,-0.01222,0.97802156
390,-0.012199999999999999,0.97785825
391,-0.01218,0.97769386
392,-0.012159999999999999,0.97752815
393,-0.01214,0.9773612
394,-0.01212,0.97719324
395,-0.0121,0.9770237
396,-0.01208,0.97685313
397,-0.01206,0.97668123
398,-0.01204,0.97650826
399,-0.01202,0.9763338
400,-0.012,0.9761582
401,-0.01198,0.9759812
402,-0.01196,0.97580296
